section,key,value
metadata,report_code,FW-20260522-092630-744509
metadata,generated_at,2026-05-22T09:26:30.758303+00:00
metadata,period,last_30_days
metadata,detail_level,executive
metadata,format,csv
summary,total_predictions,639
summary,valid_predictions,422
summary,invalid_predictions,217
summary,review_count,0
summary,recent_predictions,486
summary,latest_prediction_created_at,2026-05-22T09:26:30.466668+00:00
summary,batch_jobs_count,242
summary,completed_batch_jobs,242
summary,failed_batch_jobs,0
summary,latest_batch_created_at,2026-05-22T09:26:30.466668+00:00
summary,threshold_cost,0.24
summary,max_alerts,240
summary,priority_mode,impact
summary,error_cost_mode,reduce_fp
summary,id,1
summary,name,fraud_model
summary,model_type,HistGradientBoosting + Isotonic
summary,pr_auc,0.797619
summary,brier_score,0.000608
summary,n_features,29
summary,created_at,2026-05-16T18:49:38.199464+00:00
analytics,period_days,30
analytics,analytics.0.date,2026-05-16
analytics,analytics.0.total_predictions,20
analytics,analytics.0.review_count,0
analytics,analytics.0.invalid_count,7
analytics,analytics.1.date,2026-05-17
analytics,analytics.1.total_predictions,24
analytics,analytics.1.review_count,0
analytics,analytics.1.invalid_count,8
analytics,analytics.2.date,2026-05-18
analytics,analytics.2.total_predictions,12
analytics,analytics.2.review_count,0
analytics,analytics.2.invalid_count,4
analytics,analytics.3.date,2026-05-19
analytics,analytics.3.total_predictions,12
analytics,analytics.3.review_count,0
analytics,analytics.3.invalid_count,4
analytics,analytics.4.date,2026-05-20
analytics,analytics.4.total_predictions,85
analytics,analytics.4.review_count,0
analytics,analytics.4.invalid_count,31
analytics,analytics.5.date,2026-05-21
analytics,analytics.5.total_predictions,285
analytics,analytics.5.review_count,0
analytics,analytics.5.invalid_count,96
analytics,analytics.6.date,2026-05-22
analytics,analytics.6.total_predictions,201
analytics,analytics.6.review_count,0
analytics,analytics.6.invalid_count,67
analytics,low,422
analytics,medium,0
analytics,high,0
analytics,total,422
analytics,policy_threshold,0.24
analytics,high_threshold,0.5
analytics,review,0
analytics,no_review,422
analytics,invalid,217
analytics,total,639
analytics,source,fallback
analytics,analytics.0.feature,V14
analytics,analytics.0.importance,0.31
analytics,analytics.1.feature,V10
analytics,analytics.1.importance,0.27
analytics,analytics.2.feature,V12
analytics,analytics.2.importance,0.24
analytics,analytics.3.feature,Amount
analytics,analytics.3.importance,0.2
analytics,analytics.4.feature,V17
analytics,analytics.4.importance,0.18
analytics,analytics.5.feature,V4
analytics,analytics.5.importance,0.16
analytics,analytics.6.feature,V11
analytics,analytics.6.importance,0.14
analytics,analytics.7.feature,V3
analytics,analytics.7.importance,0.13
analytics,analytics.8.feature,V16
analytics,analytics.8.importance,0.11
analytics,analytics.9.feature,V2
analytics,analytics.9.importance,0.1
drift,drift.0.id,40
drift,drift.0.psi,2.670163030979344
drift,drift.0.status,drift
drift,drift.0.bins,10
drift,drift.0.sample_size,1
drift,drift.0.amount_multiplier,1.0
drift,drift.0.ref_mean,0.0015749748320322181
drift,drift.0.ref_p95,0.0009802032745571602
drift,drift.0.new_mean,0.0003527885456787927
drift,drift.0.new_p95,0.0003527885456787927
drift,drift.0.summary_path,batch_upload:235
drift,drift.0.created_at,2026-05-22T09:23:15.046692+00:00
model,id,1
model,name,fraud_model
model,model_type,HistGradientBoosting + Isotonic
model,artifact_path,artifacts/fraud_model.joblib
model,metadata_path,artifacts/fraud_model_metadata.json
model,pr_auc,0.797619
model,brier_score,0.000608
model,n_features,29
model,is_active,True
model,created_at,2026-05-16T18:49:38.199464+00:00
